Lifecycle,Portal Name,Legal Name,Marketing Name,Units,Address,City,State,Zip,Phone,MSA,Email,Product Type,Rural / Urban,HUD,Lifestyle Type,Building Type,Owner,Origination Source,Development Date,Closing Date,Sold Date,Management Company,Construction - General Contractor,Intercompany Account,Project Id,Prevailing Wage,Prevailing Wage Notes,Construction Percent Complete,Construction End Date,Yardi Code
Construction,1133 Westchester Ave Apts (The Halden),1133 Westchester Avenue LLC,The Halden,303,1137 Westchester Ave,White Plains,NY,10605,914-294-5550,,halden@nrpgroup.com,Market,Suburban,No,Multi-Family,G-Urban,Yes,Development,7/16/2018,6/24/2020,6/1/2024,NRP Management LLC,NRP Contractors II LLC,10-77-000-1162.38,907,,,84.27%,1/14/2023,nywestch
Construction,1800 Apartments (Centro35),1800 Apartments Ltd.,Centro35,330,1800 Centerpoint Road,San Marcos,TX,78666,512-546-7513,,centro35@nrpgroup.com,4%,Rural,No,Multi-Family,Garden,No,Development,1/2/2022,9/1/2022,,NRP Management LLC,NRP Contractors II LLC,10-77-000-1175.77,1356,,,0.00%,1/19/2025,txcentro
Construction,39 New York Avenue - Completion,39 NY Ave Apartments LLC,,131,39 New York Avenue,Jersey City,NJ,7307,,,,Market,,No,Multi-Family,Elevator,No,Construction Demo Project,,11/19/2018,,Unassigned,NRP Contractors II LLC,,1515,,,2221.51%,5/15/2021,
Construction,800 Middle (The Pointe at Bayou Bend),EADO 800 Ltd.,The Pointe at Bayou Bend,398,800 Middle Street,Houston,TX,77003,713-646-1157,,pointebayoubend@nrpgroup.com,4%,Urban,No,Multi-Family,G-Urban,No,Development,12/16/2021,8/4/2022,,NRP Management LLC,,10-77-000-1175.76,1054,,,0.02%,1/13/2025,txbayou
Construction,800 Middle Site Infrastructure ,,,0,800 Middle Street,Houston,TX,77003,,,,4%,,No,Multi-Family,Four-story G-Urban,No,Construction Demo Project,7/12/2022,9/4/2022,,Unassigned,NRP Contractors II LLC,,1554,,,0.00%,12/5/2023,
Construction,Churchill Multifamily 9% (The Davis),Churchill Gateway LLC,The Davis,52,10700 Churchill Avenue,Cleveland,OH,44106,216-307-5422,,thedavis@nrpgroup.com,9%,Urban,No,Multi-Family,Elevator,Yes,Development,2/8/2021,5/31/2022,,NRP Management LLC,,10-77-000-1162.68,1045,None,,39.55%,6/26/2023,ohdavis
Construction,City Heights,"MHP City Heights, Ltd.",,179,4400 Nuckols Crossing Rd,Austin,TX,78744,,,apadilla@mcdhousing.com,4%,,No,Multi-Family,Podium,No,Third Party GC,4/14/2021,4/13/2021,,Unassigned,On Track Ministries,,1342,None,,46.17%,5/14/2023,
Construction,Copernicus Apartments (Seven07 Lofts),Copernicus Apartments Ltd.,Seven 07 Lofts,318,707 SE Loop 410,San Antonio,TX,78220,726-207-4205,,Seven07Lofts@nrpgroup.com,4%,Suburban,No,Multi-Family,Garden,Yes,Development,10/5/2020,4/22/2021,,NRP Management LLC,San Antonio Housing Facility Corp.,10-77-000-1162.57,1274,,,86.98%,4/22/2023,txseven
Construction,Dolce Vita at Granbury (PMCA Partners),"Lakeside at Granbury by Dolce Vita, LLC",,145,S Morgan St and HW 377,Granbury,TX,76048,,,,4%,,Yes,Senior,G-Urban,No,Third Party GC,9/14/2019,6/26/2020,,Unassigned,NRP Construction LLC,,1150,,,78.62%,11/20/2022,
Construction,El Prado at Estancia (Bridge at Estancia),El Prado at Estancia Ltd.,Bridge at Estancia,318,1100 Avenida Mercado Street,Austin,TX,78652,737-301-1303,,Estancia@nrpgroup.com,4%,Suburban,No,Multi-Family,Elevator,No,Development,12/29/2020,12/6/2021,,NRP Management LLC,Austin Afforable Housing Corporation,10-77-000-1162.66,1316,None,N/A; no soft funds,19.69%,1/2/2024,txestan
Construction,Enclave on Ross ,"Enclave on Ross, LP",,288,4700 Ross Road,Austin,TX,78617,,,,4%,,Yes,Multi-Family,Elevator,No,Third Party GC,8/17/2021,8/27/2021,,Unassigned,NRP Construction LLC,,1337,,,57.96%,9/13/2023,
Construction,Forest Park (Residences at Cedar Creek),Forest Park Family Apartments LLC,Residences at Cedar Creek,200,7224 Forest Point Blvd ,Charlotte,NC,28217,980-217-2845,,residencescedarcreek@nrpgroup.com,4%,,No,Multi-Family,Garden,Yes,Development,8/11/2021,8/29/2022,,NRP Management LLC,,10-77-000-1175.73,1026,,,0.00%,7/15/2024,nccedar
Construction,Garland (Saturn Road Apartments),Saturn Apartment Development Company,,298,4689 Saturn Road,Garland,TX,75041,,,,PFC,,No,Multi-Family,,No,Third Party GC,6/9/2022,7/1/2022,,Unassigned,,,1010,,,2.46%,9/23/2024,
Construction,Grand Ave Flats (The James on Grand Avenue),Grand Avenue Flats Ltd.,The James on Grand Avenue,275,15701 FM 1325 RD,Austin,TX,78728,737-270-8159,,JamesGrandAve@nrpgroup.com,4%,Suburban,No,Multi-Family,Elevator,Yes,Development,5/29/2020,8/5/2021,,NRP Management LLC,"NRP Contractors II LLC, Capital Area Multi-Housing, Inc.",10-77-000-1162.61,1137,,,35.93%,9/18/2023,txjames
Construction,Grand Prairie II,"KIW Grand Prairie II Venture, LLC",,326,2405 South Forum Dr,Grand Prairie,TX,75052,,,,Market,,No,Multi-Family,Garden,No,Third Party GC,11/18/2021,12/20/2021,,Unassigned,NRP Construction LLC,,1300,,,24.50%,2/2/2024,
Construction,Highland Village (Revolve),Highland Village Apartments LP,Revolve ,299,112 Will Davis Drive,Austin,TX,78752,737 279 8918,,,PFC,,No,Multi-Family,Wrap,Yes,Development,1/7/2020,1/14/2021,6/1/2024,NRP Management LLC,NRP Contractors II LLC,10-77-000-1162.51,1104,,,52.46%,5/1/2023,txrevolv
Construction,Lyric at Merc,NRP Construction LLC,,300,14015 University Pass,San Antonio,TX,78249,,,,Market,,Yes,Multi-Family,Elevator,No,Third Party GC,12/24/2021,4/14/2022,,Unassigned,NRP Construction LLC,,1419,,,11.50%,4/28/2024,
Construction,Mountain Creek,Mountain Creek Owner LP,,324,4868 S. Merrifield Road,Dallas,TX,75236,,,,PFC,,No,Multi-Family,Garden,No,Development,11/30/2021,9/29/2022,,NRP Management LLC,NRP Contractors II LLC,,1334,,,0.00%,9/2/2024,
Construction,New Carrollton ,"New Carrolton Multi-Family II, LLC",,285,4150 Garden City Drive,Hyattsville ,MD,20786,,,,Market,,No,Multi-Family,Wrap,No,Third Party GC,7/30/2021,3/5/2022,,Unassigned,NRP Construction LLC,,1257,,,10.05%,4/10/2024,
Construction,New Rochelle - (Boys &Girls Club),Lincoln Renaissance Apartments LLC,,0,64 Lincoln Ave/116 Guion Place,New Rochelle,NY,10801,,,,4%,,No,Multi-Family,Non-Residential,No,Construction Demo Project,4/25/2020,10/22/2020,,Unassigned,NRP Touchstone JV LLC,,1162,,,38.57%,4/2/2023,
Construction,New Rochelle - (Parking Structure),Lincoln Renaissance Apartments LLC,,356,64 Lincoln Ave/116 Guion Place,New Rochelle,NY,10801,,,,4%,,No,Multi-Family,Non-Residential,No,Construction Demo Project,4/25/2020,10/22/2020,,Unassigned,NRP Touchstone JV LLC,,1161,,,86.30%,2/13/2023,
Construction,New Rochelle - (Renaissance at Lincoln Park),Lincoln Renaissance Apartments LLC,,179,64 Lincoln Ave/116 Guion Place,New Rochelle,NY,10801,,,,4%,Urban,No,Multi-Family,Elevator,Yes,Development,4/25/2020,10/22/2020,,ELH Mgmt. LLC,NRP Touchstone JV LLC,,787,State Prevailing Wage,For portion of garage,54.18%,11/17/2023,
Construction,NRH City Point (The Delegate at City Point),CRP/NRP City Point Owner L.P.,The Delegate at City Point,352,4301 City Point Drive,North Richland Hills,TX,76180,,,,Market,,No,Multi-Family,G-Urban,No,Development,7/14/2020,12/22/2021,12/1/2024,NRP Management LLC,NRP Contractors II LLC,10-77-000-1162.65,1218,,,15.03%,3/26/2024,txdelega
Construction,NRP SAT Landmark Office,,,,15727 Anthem Parkway,San Antonio,TX,78249,,,,Market,,No,Multi-Family,Non-Residential,No,Construction Demo Project,,,,Unassigned,NRP Contractors II LLC,,1495,,,0.00%,,
