Year,Decker Lofts,Loyola Apartments (Bridge at Loyola),The Terrace at Walnut Creek,FHFA Index,AM Index
2012,1,1,1,1.03,1.0815
2013,0.76,0.798,0.8778,0.98550606,1.127911686
2014,0.7752,0.9197748,1.143280076,1.450423412,1.826010555
2015,1.1628,1.779764238,2.367104234,3.243271486,4.409765968
2016,1.244196,2.399478146,2.999850133,4.439041813,6.397751079
2017,1.28152188,3.039898863,6.346851923,10.04920766,15.06271514
2018,1.845391507,4.552552537,12.73676089,21.3765845,33.32292359
2019,1.882299337,5.200836018,15.27799942,27.43655548,44.48030001
2020,1.844653351,5.096819298,14.97243943,28.23221559,48.51644243
2021,2.600961224,7.977031883,24.83936685,55.26814976,132.0181711
2022,3.823413,18.41019188,94.01591061,209.1875151,599.6195627
