full_address,2018 Appraisal,2019 Appraisal,2020 Appraisal,2021 Appraisal, 2022 Appraisal 
8101 Marydean Ave,38570,65244,59978,52708,64048
8100 Marydean Ave,160765,151596,151595,151595,222954
8104 Marydean Ave,134571,176862,176861,176861,265023
8105 Maydean Ave,59313,58175,89581,96944,118894
8108 Maydean Ave,134571,176862,176861,176861,265023
8109 Marydean Ave,134500,176862,176861,176861,265023
8112 Marydean Ave,134571,176862,176861,176861,265023
8113 Marydean Ave,134500,176862,176861,176861,232512
8116 Marydean Ave,134571,176862,176861,176861,265023
8117 Marydean Ave,134571,176862,176861,176861,265023
8120 Marydean Ave,134571,176862,176861,176861,265023
8121 Marydean Ave,134571,176862,176861,176861,265023
8124 Marydean Ave,134571,176862,176861,176861,265023
8125 Marydean Ave,134571,176862,176861,176861,265023
8128 Marydean Ave,134571,176862,176861,176861,265023
8129 Marydean Ave,134571,176862,176861,176861,265023
8132 Marydean Ave,134571,176862,176861,176861,265023
8201 Calmont Ave,1252549,1276900,1304347,1684114,1684114
8125 Calmont Ave,4515247,4734461,6088181,6276079,9491698
8124 Calmont Ave,4269208,4581332,5891268,6073089,9184703
