,Lifecycle,Portal Name,Legal Name,Marketing Name,Units,Address,City,State,Zip,Phone,MSA,Email,Product Type,Rural / Urban,HUD,Lifestyle Type,Building Type,Owner,Origination Source,Development Date,Closing Date,Sold Date,Management Company,Construction - General Contractor,Intercompany Account,Project Id,Prevailing Wage,Prevailing Wage Notes,Construction Percent Complete,Construction End Date,Yardi Code,full_address
0,Construction,Copernicus Apartments (Seven07 Lofts),Copernicus Apartments Ltd.,Seven 07 Lofts,318.0,707 SE Loop 410,San Antonio,TX,78220.0,726-207-4205,,Seven07Lofts@nrpgroup.com,4%,Suburban,No,Multi-Family,Garden,Yes,Development,10/5/2020,4/22/2021,,NRP Management LLC,San Antonio Housing Facility Corp.,10-77-000-1162.57,1274,,,86.98%,4/22/2023,txseven,"707 SE Loop 410, San Antonio, TX, 78220"
1,Development,Fiesta Trails (The Baltazar),Fiesta Trails Ltd.,The Baltazar,60.0,12055 IH-10 W,San Antonio,TX,78230.0,,,,9%,Urban,No,Multi-Family,G-Urban,No,Development,10/11/2021,12/16/2022,,NRP Management LLC,,,1214,,,0.00%,4/15/2024,,"12055 IH-10 W, San Antonio, TX, 78230"
2,Development,Viento Apartments (Los Arcos at Vida),,Los Arcos at Vida ,324.0,10210 S. Zarzamora Street,San Antonio,TX,78224.0,,,,4%,,No,Multi-Family,Garden,No,Development,8/25/2022,12/23/2022,,NRP Management LLC,NRP Contractors II LLC,,1402,,,0.00%,11/22/2024,,"10210 S. Zarzamora Street, San Antonio, TX, 78224"
3,Lease-Up,Alazan Lofts (Legacy at Alazan),Alazan Lofts Ltd. ,Legacy at Alazan,88.0,1102 El Paso St.,San Antonio,TX,78207.0,726-777-6779,,LegacyAlazan@nrpgroup.com,9%,Urban,No,Multi-Family,Garden,Yes,Development,6/20/2020,10/27/2020,,NRP Management LLC,NRP Contractors II LLC,10-77-000-1162.60,812,Davis Bacon,,100.00%,1/14/2022,txalazan,"1102 El Paso St., San Antonio, TX, 78207"
4,Lease-Up,Hamilton Wolfe Lofts (The Nightingale),Hamilton Wolfe Lofts Ltd.,The Nightingale,74.0,4635 Hamilton Wolfe Road,San Antonio,TX,78240.0,726-888-6771,,TheNightingale@nrpgroup.com,9%,Urban,No,Multi-Family,Garden,Yes,Development,10/5/2020,5/17/2021,,NRP Management LLC,,10-77-000-1162.58,1039,None,,100.00%,9/5/2022,txnight,"4635 Hamilton Wolfe Road, San Antonio, TX, 78240"
5,Lease-Up,Lord Road Apartments (The Stella),Lord Road Apartments Ltd.,The Stella,324.0,4835 Lord Rd,San Antonio,TX,78220.0,210-774-4855,#REF!,thestella@nrpgroup.com,4%,Urban,No,Multi-Family,Garden,Yes,Development,12/6/2016,8/24/2018,,NRP Management LLC,"NRP Contractors II LLC, San Antonio Housing Trust Public Facility Corporation ",10-77-000-1162.06,616,Davis Bacon,23 COSA HOME units,100.00%,7/5/2020,txstella,"4835 Lord Rd, San Antonio, TX, 78220"
6,Lease-Up,Trader Flats (The Scott at Medio Creek),Traders Flats Ltd.,The Scott at Medio Creek,324.0,9130 Excellence Drive,San Antonio,TX,78252.0,726-222-9900,,ScottMedioCreek@nrpgroup.com,4%,Suburban,No,Multi-Family,Garden,Yes,Development,12/3/2019,6/12/2020,,NRP Management LLC,NRP Contractors II LLC,10-77-000-1162.36,1143,None,,100.00%,5/27/2022,txmedio,"9130 Excellence Drive, San Antonio, TX, 78252"
7,Sold,Alhambra,"The Alhambra Apartments, Ltd.",The Alhambra,140.0,7130 New Laredo Highway,San Antonio,TX,78211.0,210-923-8200,,thealhambra@nrpgroup.com,9%,Urban,No,Senior,Elevator,Yes,Development,8/1/2005,12/8/2006,7/8/2021,NRP Management LLC,NRP Contractors LLC,10-77-000-1160.44,290,None,No information leads to PW trigger.,100.00%,2/13/2008,txhambra,"7130 New Laredo Highway, San Antonio, TX, 78211"
8,Sold,Costa Almadena,"Costa Almadena, Ltd.",,176.0,6222 S. New Braunfels,San Antonio,TX,78223.0,210-531-9590,,costaalmadena@nrpgroup.com,4%,Suburban,No,Multi-Family,Garden,Yes,Development,6/1/2006,11/1/2006,12/1/2021,NRP Management LLC,NRP Contractors LLC,10-77-000-1160.39,11,Davis Bacon,,100.00%,2/29/2008,txalma,"6222 S. New Braunfels, San Antonio, TX, 78223"
9,Sold,Easterling Culebra Apartments (The Starling),Easterling Culebra Apartments Ltd.,The Starling,90.0,10148 Culebra Road,San Antonio,TX,78251.0,,,thestarling@nrpgroup.com,9%,Urban,No,Multi-Family,Garden,No,Development,7/28/2016,7/21/2017,10/1/2019,"Prospera Housing & Community Services, Inc.",NRP Contractors II LLC,10-70-000-1161.88,562,None,,100.00%,9/30/2018,,"10148 Culebra Road, San Antonio, TX, 78251"
